
Estadísticas descriptivas
=======================================================================
Statistic          N       Mean       St. Dev.      Min        Max     
-----------------------------------------------------------------------
y_ingLab_m       9,848 1,609,575.00 1,533,651.00 20,000.00 7,892,292.00
y_ingLab_m_ha    9,848   8,115.37     8,080.51    326.67    41,470.34  
ln_sal           9,848     8.71         0.69       5.79       10.63    
age              9,848    36.17        11.92        18          73     
female           9,848     0.50         0.50         0          1      
microEmpresa     9,848     0.23         0.42         0          1      
formal           9,848     0.77         0.42         0          1      
totalHoursWorked 9,848    48.36        12.23         1         130     
hoursWorkUsual   9,848    48.04        12.14         1         130     
grad_aprob       9,848     6.87         3.54         0          15     
college          9,848     0.35         0.48         0          1      
segundo_trabajo  9,848     0.03         0.17         0          1      
-----------------------------------------------------------------------
